iter	RMSE	MAE
0	9607.039212	8307.163866
1	9471.273195	8186.89916
2	9340.088971	8069.987395
3	9210.172761	7950.113971
4	9082.076896	7832.424895
5	8956.508804	7717.07458
6	8830.058001	7603.607143
7	8709.701543	7492.265756
8	8588.854783	7382.818277
9	8469.737757	7274.990546
10	8353.834243	7165.355042
11	8236.765034	7060.86292
12	8129.652978	6962.423319
13	8016.82882	6860.667017
14	7906.897846	6761.845588
15	7797.744194	6660.75
16	7691.286385	6565.130777
17	7583.738747	6467.818277
18	7479.527204	6371.328782
19	7375.985271	6278.032563
20	7274.27933	6185.514181
21	7177.348046	6094.17542
22	7079.504137	6004.130252
23	6984.306519	5918.429622
24	6889.324461	5832.276261
25	6796.509158	5748.238445
26	6704.313023	5665.463235
27	6611.800238	5582.761555
28	6522.790474	5501.35084
29	6435.829455	5421.782038
30	6350.044023	5344.620798
31	6264.259672	5267.544118
32	6180.587837	5191.464286
33	6100.481733	5116.14916
34	6020.341005	5043.856092
35	5939.903856	4971.620273
36	5859.395627	4899.821429
37	5782.101203	4828.578256
38	5706.194635	4758.765231
39	5630.030213	4690.593487
40	5556.772221	4622.501576
41	5485.122209	4558.134979
42	5413.758756	4491.584034
43	5343.942434	4427.135504
44	5275.69287	4364.995536
45	5209.798241	4303.237658
46	5142.043723	4243.02416
47	5076.248996	4181.957721
48	5012.096802	4121.706145
49	4946.941009	4062.197479
50	4884.816138	4004.98083
51	4822.87011	3948.23188
52	4763.996289	3893.027048
53	4703.827585	3836.480567
54	4642.792785	3781.143908
55	4583.773148	3727.671218
56	4525.382146	3674.635767
57	4469.232198	3622.642857
58	4415.651673	3572.723214
59	4360.682392	3521.504202
60	4307.912127	3472.079044
61	4255.739677	3424.534139
62	4203.561451	3376.303571
63	4151.36285	3327.909926
64	4099.170254	3280.589811
65	4049.198481	3233.146008
66	4000.470023	3187.887605
67	3950.994871	3143.863183
68	3905.514929	3100.885504
69	3857.498785	3057.165179
70	3812.948695	3016.513655
71	3768.610916	2973.1875
72	3724.945551	2933.099527
73	3680.212782	2891.884454
74	3637.555149	2851.314076
75	3594.416585	2811.064863
76	3551.340388	2771.153887
77	3510.099446	2732.523372
78	3470.528442	2695.053046
79	3430.707951	2656.638393
80	3391.616278	2618.764968
81	3352.897174	2581.359244
82	3315.50239	2544.980567
83	3278.33563	2508.815126
84	3242.120273	2475.657038
85	3206.23896	2442.933298
86	3172.324694	2411.440651
87	3137.638228	2379.794643
88	3103.331298	2349.46166
89	3069.533323	2317.379464
90	3035.40245	2285.306723
91	3002.123349	2256.217962
92	2970.727597	2228.395483
93	2940.323426	2198.290966
94	2908.985974	2167.858718
95	2878.432253	2137.879202
96	2846.200829	2109.231618
97	2816.935673	2082.876576
98	2786.229572	2055.875525
99	2757.143425	2030.750525
100	2727.522864	2004.033351
101	2700.588769	1976.988183
102	2673.266544	1953.881171
103	2644.727928	1928.214942
104	2618.969661	1902.451287
105	2593.819156	1880.058298
106	2567.339374	1857.441833
107	2541.840212	1835.361082
108	2516.059023	1814.036765
109	2491.241532	1792.557117
110	2467.804876	1769.129464
111	2443.448287	1746.887868
112	2418.670904	1726.802521
113	2395.905976	1706.313813
114	2373.955151	1684.317227
115	2351.577622	1661.979386
116	2328.704274	1642.409533
117	2307.171953	1620.387211
118	2286.017593	1600.671612
119	2266.168632	1582.975446
120	2245.733598	1562.120798
121	2225.494208	1544.609244
122	2206.142075	1524.714023
123	2186.380086	1507.958246
124	2167.689519	1490.206539
125	2147.980251	1473.593356
126	2128.671026	1457.668855
127	2109.558431	1441.335084
128	2091.226137	1426.385242
129	2072.646601	1412.738445
130	2053.889837	1399.18146
131	2036.183215	1384.435137
132	2019.401492	1370.64614
133	2001.948563	1358.527967
134	1984.246867	1343.181197
135	1968.536376	1328.836791
136	1952.111858	1315.474133
137	1934.75771	1303.72584
138	1920.502875	1292.259322
139	1904.170672	1281.119879
140	1887.358672	1269.430147
141	1873.480058	1257.314601
142	1857.375106	1247.049107
143	1844.121362	1235.19459
144	1829.51378	1224.047138
145	1816.62078	1213.519695
146	1803.477053	1201.847295
147	1791.255998	1192.329307
148	1779.162526	1181.287684
149	1767.147899	1171.091387
150	1754.831831	1161.956801
151	1742.953969	1152.54333
152	1731.669773	1145.438157
153	1719.169938	1137.787553
154	1706.95353	1130.240284
155	1694.630809	1123.655987
156	1684.102155	1116.602679
157	1671.437162	1108.926471
158	1659.514073	1100.672269
159	1649.627164	1095.14614
160	1637.870723	1086.709428
161	1627.115032	1081.017595
162	1615.85023	1072.563091
163	1604.362624	1064.851169
164	1594.296726	1059.212185
165	1584.974405	1052.399619
166	1576.119008	1046.019433
167	1566.573009	1041.221639
168	1555.821942	1035.504333
169	1545.108149	1029.384388
170	1534.790315	1023.472689
171	1526.818673	1017.376313
172	1515.563361	1011.600446
173	1507.40612	1005.581276
174	1500.398154	1000.089417
175	1491.413407	993.7412684
176	1482.26191	987.5603992
177	1474.761339	981.7963498
178	1466.612354	977.4812237
179	1457.234632	972.5514706
180	1448.546626	966.607865
181	1439.823238	960.7099527
182	1430.598347	955.306657
183	1421.59839	948.8293067
184	1413.648239	944.8656775
