"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"19.04.2021","34.077,63","34.182,38","34.182,38","33.980,56","315,62M","-0,36%"
"16.04.2021","34.200,67","34.058,16","34.256,75","34.058,16","348,18M","0,48%"
"15.04.2021","34.035,99","33.788,53","34.068,73","33.788,53","321,83M","0,90%"
"14.04.2021","33.730,89","33.668,95","33.911,25","33.668,95","318,67M","0,16%"
"13.04.2021","33.677,27","33.721,16","33.741,64","33.545,84","330,00M","-0,20%"
"12.04.2021","33.745,40","33.775,06","33.786,19","33.665,54","329,02M","-0,16%"
"09.04.2021","33.800,60","33.526,19","33.810,87","33.526,19","317,82M","0,89%"
"08.04.2021","33.503,57","33.469,89","33.506,80","33.342,64","306,19M","0,17%"
"07.04.2021","33.446,26","33.444,98","33.521,76","33.347,96","279,88M","0,05%"
"06.04.2021","33.430,24","33.500,02","33.544,79","33.380,43","298,31M","-0,29%"
"05.04.2021","33.527,19","33.222,38","33.617,95","33.222,38","345,15M","1,13%"
"01.04.2021","33.153,21","33.054,58","33.167,17","32.985,35","318,34M","0,52%"
"31.03.2021","32.981,55","33.116,04","33.173,77","32.980,57","418,64M","-0,26%"
"30.03.2021","33.066,96","33.127,88","33.170,93","32.988,92","309,57M","-0,31%"
"29.03.2021","33.171,37","33.087,55","33.259,00","32.905,13","351,61M","0,30%"
"26.03.2021","33.072,88","32.681,07","33.098,83","32.681,07","383,45M","1,39%"
"25.03.2021","32.619,48","32.346,81","32.672,69","32.071,41","413,49M","0,62%"
"24.03.2021","32.420,06","32.470,88","32.787,99","32.418,15","405,06M","-0,01%"
"23.03.2021","32.423,15","32.691,50","32.753,77","32.356,28","388,13M","-0,94%"
"22.03.2021","32.731,20","32.601,82","32.810,35","32.512,53","384,32M","0,32%"
"19.03.2021","32.627,97","32.858,36","32.858,36","32.505,07","847,02M","-0,71%"
"18.03.2021","32.862,30","32.928,16","33.227,78","32.831,25","421,02M","-0,46%"
"17.03.2021","33.015,37","32.825,52","33.047,58","32.782,18","391,81M","0,58%"
"16.03.2021","32.825,95","32.966,75","32.966,75","32.778,23","387,91M","-0,39%"
"15.03.2021","32.953,46","32.798,84","32.973,40","32.629,75","362,08M","0,53%"
"12.03.2021","32.778,64","32.462,40","32.793,32","32.462,40","348,29M","0,90%"
"11.03.2021","32.485,59","32.354,50","32.661,59","32.345,70","402,40M","0,58%"
"10.03.2021","32.297,02","31.906,96","32.389,50","31.906,96","410,23M","1,46%"
"09.03.2021","31.832,74","31.892,35","32.150,32","31.822,64","463,74M","0,10%"
"08.03.2021","31.802,44","31.512,15","32.148,04","31.512,15","499,58M","0,97%"
"05.03.2021","31.496,30","31.029,18","31.580,33","30.766,81","505,35M","1,85%"
"04.03.2021","30.924,14","31.289,01","31.461,97","30.547,53","551,23M","-1,11%"
"03.03.2021","31.270,09","31.352,96","31.563,31","31.260,14","411,61M","-0,39%"
"02.03.2021","31.391,52","31.535,37","31.623,27","31.377,16","341,28M","-0,46%"
"01.03.2021","31.535,51","31.065,90","31.668,34","31.065,90","387,58M","1,95%"
"26.02.2021","30.932,37","31.401,29","31.450,89","30.911,37","538,91M","-1,50%"
"25.02.2021","31.402,01","31.955,94","31.984,77","31.293,32","458,96M","-1,75%"
"24.02.2021","31.961,86","31.499,75","32.009,64","31.421,29","413,35M","1,35%"
"23.02.2021","31.537,35","31.501,89","31.653,38","31.158,76","461,92M","0,05%"
