Categoría: Todas las categorías

Mes,Criptomoneda: (España)
2015-12,<1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,<1
2016-11,<1
2016-12,1
2017-01,1
2017-02,1
2017-03,2
2017-04,1
2017-05,4
2017-06,7
2017-07,6
2017-08,7
2017-09,9
2017-10,7
2017-11,12
2017-12,39
2018-01,46
2018-02,25
2018-03,16
2018-04,13
2018-05,12
2018-06,9
2018-07,8
2018-08,10
2018-09,9
2018-10,9
2018-11,8
2018-12,7
2019-01,8
2019-02,6
2019-03,6
2019-04,8
2019-05,10
2019-06,10
2019-07,10
2019-08,8
2019-09,8
2019-10,7
2019-11,7
2019-12,7
2020-01,7
2020-02,9
2020-03,8
2020-04,13
2020-05,12
2020-06,11
2020-07,11
2020-08,16
2020-09,15
2020-10,11
2020-11,15
2020-12,18
2021-01,39
2021-02,66
2021-03,74
2021-04,100
