Fecha;Último;Apertura;Máximo;Mínimo;% var.
11.04.2021;0,013;0,010;0,013;0,010;0,00%
09.04.2021;0,013;0,020;0,020;0,010;0,00%
08.04.2021;0,013;0,013;0,020;0,010;0,00%
07.04.2021;0,013;0,020;0,025;0,010;0,00%
06.04.2021;0,013;0,025;0,025;0,013;-35,00%
05.04.2021;0,020;0,018;0,033;0,018;-34,21%
04.04.2021;0,030;0,030;0,030;0,030;49,75%
02.04.2021;0,020;0,018;0,018;0,018;12,78%
01.04.2021;0,018;0,008;0,020;0,008;38,46%
31.03.2021;0,013;0,010;0,023;0,002;62,50%
30.03.2021;0,008;0,013;0,028;0,005;-73,33%
29.03.2021;0,030;0,025;0,030;0,015;18,58%
28.03.2021;0,025;0,025;0,025;0,025;68,67%
26.03.2021;0,015;0,013;0,025;0,013;50,00%
25.03.2021;0,010;0,020;0,023;0,010;-23,08%
24.03.2021;0,013;0,023;0,023;0,010;0,00%
23.03.2021;0,013;0,018;0,018;0,010;-48,00%
22.03.2021;0,025;0,010;0,025;0,010;23,15%
21.03.2021;0,020;0,020;0,020;0,020;103,00%
19.03.2021;0,010;0,018;0,018;0,010;25,00%
18.03.2021;0,008;0,010;0,015;0,005;-38,46%
17.03.2021;0,013;0,018;0,018;0,008;-13,33%
16.03.2021;0,015;0,018;0,033;0,010;-40,00%
15.03.2021;0,025;0,023;0,142;0,015;-10,39%
14.03.2021;0,028;0,028;0,028;0,028;11,60%
12.03.2021;0,025;0,033;0,033;0,025;0,00%
11.03.2021;0,025;0,025;0,036;0,023;-10,71%
10.03.2021;0,028;0,030;0,043;0,025;-6,67%
09.03.2021;0,030;0,043;0,043;0,030;-14,29%
08.03.2021;0,035;0,046;0,051;0,036;-1,41%
07.03.2021;0,036;0,036;0,036;0,036;18,33%
05.03.2021;0,030;0,033;0,041;0,030;-9,09%
04.03.2021;0,033;0,038;0,041;0,030;-19,51%
03.03.2021;0,041;0,043;0,048;0,036;-4,65%
02.03.2021;0,043;0,038;0,046;0,036;22,86%
01.03.2021;0,035;0,041;0,041;0,033;-13,79%
28.02.2021;0,041;0,041;0,041;0,041;23,03%
26.02.2021;0,033;0,041;0,046;0,030;0,00%
25.02.2021;0,033;0,030;0,046;0,025;0,00%
24.02.2021;0,033;0,030;0,046;0,025;32,00%
23.02.2021;0,025;0,030;0,033;0,020;0,00%
22.02.2021;0,025;0,020;0,025;0,020;-24,24%
21.02.2021;0,033;0,033;0,033;0,033;43,48%
19.02.2021;0,023;0,030;0,036;0,020;0,00%
18.02.2021;0,023;0,036;0,041;0,023;-34,29%
17.02.2021;0,035;0,036;0,043;0,033;6,06%
16.02.2021;0,033;0,038;0,043;0,033;-13,16%
15.02.2021;0,038;0,036;0,038;0,036;26,67%
12.02.2021;0,030;0,033;0,033;0,030;0,00%
11.02.2021;0,030;0,046;0,046;0,030;-14,29%
10.02.2021;0,035;0,043;0,048;0,033;-14,63%
09.02.2021;0,041;0,043;0,046;0,033;36,67%
08.02.2021;0,030;0,030;0,041;0,030;-26,11%
07.02.2021;0,041;0,041;0,041;0,041;35,33%
05.02.2021;0,030;0,030;0,046;0,030;50,00%
04.02.2021;0,020;0,036;0,041;0,015;-42,86%
03.02.2021;0,035;0,036;0,048;0,028;-7,89%
02.02.2021;0,038;0,048;0,061;0,038;-32,14%
01.02.2021;0,056;0,056;0,056;0,056;-15,02%
31.01.2021;0,066;0,066;0,066;0,066;17,68%
