Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
09.04.2021;3.450,68;3.475,44;3.475,45;3.442,14;28,01B;-0,92%
08.04.2021;3.482,55;3.467,49;3.495,91;3.459,32;33,18B;0,08%
07.04.2021;3.479,63;3.483,42;3.483,42;3.453,19;29,58B;-0,10%
06.04.2021;3.482,97;3.491,63;3.493,28;3.471,76;23,47B;-0,04%
02.04.2021;3.484,39;3.472,63;3.487,59;3.462,83;26,27B;0,52%
01.04.2021;3.466,33;3.444,81;3.470,03;3.438,83;27,52B;0,71%
31.03.2021;3.441,91;3.452,21;3.452,21;3.420,83;28,30B;-0,43%
30.03.2021;3.456,68;3.432,53;3.457,63;3.423,32;28,54B;0,62%
29.03.2021;3.435,30;3.429,63;3.449,83;3.409,89;28,48B;0,50%
26.03.2021;3.418,33;3.373,32;3.423,22;3.373,32;27,46B;1,63%
25.03.2021;3.363,59;3.355,07;3.382,23;3.344,97;27,07B;-0,10%
24.03.2021;3.367,06;3.394,13;3.415,29;3.362,18;31,74B;-1,30%
23.03.2021;3.411,51;3.445,34;3.445,42;3.390,05;32,64B;-0,93%
22.03.2021;3.443,44;3.406,12;3.443,66;3.404,23;31,26B;1,14%
19.03.2021;3.404,66;3.423,87;3.439,52;3.389,29;30,92B;-1,69%
18.03.2021;3.463,07;3.449,64;3.478,14;3.449,38;28,44B;0,51%
17.03.2021;3.445,55;3.435,73;3.454,06;3.410,28;28,01B;-0,03%
16.03.2021;3.446,73;3.424,65;3.448,88;3.406,17;31,67B;0,78%
15.03.2021;3.419,95;3.441,88;3.457,49;3.392,51;36,78B;-0,96%
12.03.2021;3.453,08;3.447,20;3.454,51;3.417,24;35,80B;0,47%
11.03.2021;3.436,83;3.369,90;3.436,83;3.369,90;32,21B;2,36%
10.03.2021;3.357,74;3.389,84;3.397,03;3.354,82;29,97B;-0,05%
09.03.2021;3.359,29;3.415,34;3.429,15;3.328,31;40,77B;-1,82%
08.03.2021;3.421,41;3.524,98;3.542,30;3.421,22;38,70B;-2,30%
05.03.2021;3.501,99;3.463,31;3.523,57;3.456,67;35,64B;-0,04%
04.03.2021;3.503,49;3.546,64;3.552,20;3.487,38;39,36B;-2,05%
03.03.2021;3.576,90;3.500,16;3.577,62;3.498,72;34,77B;1,95%
02.03.2021;3.508,59;3.566,85;3.566,85;3.485,36;33,98B;-1,21%
01.03.2021;3.551,40;3.531,48;3.552,57;3.511,99;31,55B;1,21%
26.02.2021;3.509,08;3.514,56;3.550,41;3.500,70;33,33B;-2,12%
