,Open Time,Open,High,Low,Close_btc,Volume,NumberTransactions,Close SP500,Open SP500,halving,Close Gold,Open Gold,OpenDJ,CloseDJ,Close_eth
0,2015-10-11,246.3,249.5,246.3,249.5,3021.12,104550.0,2081.72,2077.19,1,1149.4,1149.4,17724.13,17758.21,0.6
1,2015-10-12,249.5,249.5,247.6,247.6,9493.89,134410.0,2052.23,2047.93,1,1130.3,1130.3,17493.17,17574.75,0.63
2,2015-10-13,247.6,252.87,245.75,250.0,12875.4,134878.0,2003.69,2015.0,1,1231.7,1231.7,17113.55,17081.89,0.6
3,2015-10-14,250.0,254.75,250.0,253.0,30115.77,141985.0,1994.24,2003.66,1,1243.6,1243.6,17079.08,16924.75,0.5
4,2015-10-15,253.0,258.98,253.0,255.26,50535.45,153495.0,2023.86,1996.47,1,1251.4,1251.4,16944.86,17141.75,0.56
5,2015-10-16,255.9,269.98,255.9,263.75,26743.35,143286.0,2033.11,2024.37,1,1246.6,1246.6,17141.75,17215.97,0.53
6,2015-10-17,263.75,285.0,263.14,272.47,180981.35,135911.0,2033.11,2024.37,1,1246.6,1246.6,17141.75,17215.97,0.52
7,2015-10-18,272.47,274.89,264.01,268.46,14484.0,119706.0,2033.11,2024.37,1,1246.6,1246.6,17141.75,17215.97,0.51
8,2015-10-19,268.46,274.77,265.0,272.49,35836.54,143969.0,2033.66,2031.73,1,1236.3,1236.3,17209.43,17230.54,0.5
9,2015-10-20,272.49,275.99,266.02,272.1,54949.01,146349.0,2030.77,2033.13,1,1240.9,1240.9,17228.47,17217.11,0.44
10,2015-10-21,272.1,272.75,269.5,271.64,99066.75,150199.0,2018.94,2033.47,1,1229.7,1229.7,17225.93,17168.61,0.42
11,2015-10-22,271.64,279.98,271.23,276.89,162664.5,147402.0,2052.51,2021.88,1,1228.2,1228.2,17180.88,17489.16,0.61
12,2015-10-23,276.89,283.95,276.89,280.2,164962.53,143468.0,2075.15,2058.19,1,1218.7,1218.7,17525.11,17646.7,0.56
13,2015-10-24,280.2,285.0,280.19,285.0,123247.67,140128.0,2075.15,2058.19,1,1218.7,1218.7,17525.11,17646.7,0.56
14,2015-10-25,285.0,297.0,285.0,289.38,13502.41,131488.0,2075.15,2058.19,1,1218.7,1218.7,17525.11,17646.7,0.62
15,2015-10-26,289.38,296.99,283.99,288.54,97784.33,116400.0,2071.18,2075.08,1,1220.3,1220.3,17649.57,17623.05,0.71
16,2015-10-27,288.54,299.0,288.53,298.2,202956.9,153740.0,2065.89,2068.75,1,1218.2,1218.2,17608.89,17581.43,0.83
17,2015-10-28,298.2,309.0,298.2,307.05,369278.2,160175.0,2090.35,2066.48,1,1229.3,1229.3,17586.69,17779.52,0.99
18,2015-10-29,307.05,320.01,261.51,314.89,522681.16,161062.0,2089.41,2088.35,1,1201.8,1201.8,17771.5,17755.8,1.12
19,2015-10-30,314.89,374.0,314.89,330.36,681306.37,166695.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,1.14
20,2015-10-31,330.36,336.69,309.15,315.0,62936.19,155400.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.87
21,2015-11-01,315.0,330.0,299.76,330.0,120386.11,152488.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.99
22,2015-11-02,330.0,370.0,326.1,367.85,1062068.18,172108.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.99
23,2015-11-03,367.85,424.62,362.25,400.0,1182587.15,186362.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,1.06
24,2015-11-04,400.0,500.0,365.0,410.0,957774.87,204198.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.8
25,2015-11-05,410.0,450.0,369.73,379.42,671522.45,182809.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.88
26,2015-11-06,379.42,399.7,354.01,376.0,443559.45,166893.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.99
27,2015-11-07,376.0,391.92,374.97,388.13,316125.45,151497.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.93
28,2015-11-08,388.13,389.61,363.47,377.0,58646.32,132550.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,1.0
29,2015-11-09,377.0,386.79,361.43,381.46,426641.07,159836.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,1.0
30,2015-11-10,381.46,383.0,236.0,336.18,255925.57,161962.0,2079.36,2090.0,1,1195.2,1195.2,17756.6,17663.54,0.9
31,2015-11-11,336.18,343.75,300.0,306.0,385120.65,158929.0,2075.0,2083.41,1,1145.4,1145.4,17769.5,17702.22,0.75
32,2015-11-12,306.0,344.8,300.51,335.5,397146.18,157847.0,2012.37,2047.27,1,1133.8,1133.8,17574.75,17265.21,0.88
33,2015-11-13,335.5,348.58,326.6,338.45,160014.56,154827.0,2023.04,2044.64,1,1141.3,1141.3,17439.25,17245.24,0.9
34,2015-11-14,338.45,2200.0,332.92,349.99,254383.14,150474.0,2023.04,2044.64,1,1141.3,1141.3,17439.25,17245.24,0.88
35,2015-11-15,349.99,354.99,317.76,318.66,132609.66,143369.0,2023.04,2044.64,1,1141.3,1141.3,17439.25,17245.24,0.92
36,2015-11-16,318.66,338.99,315.0,336.99,155088.38,158316.0,2053.19,2022.08,1,1142.5,1142.5,17229.94,17483.01,0.93
37,2015-11-17,336.99,340.24,328.33,334.51,299171.45,156688.0,2050.44,2053.67,1,1126.9,1131.0,17486.99,17489.5,1.0
38,2015-11-18,334.51,337.9,330.01,335.99,517355.7,165269.0,2083.58,2051.99,1,1126.9,1126.9,17485.49,17737.16,1.0
39,2015-11-19,335.99,335.99,322.34,325.01,302039.17,154483.0,2081.24,2083.7,1,1135.6,1135.2,17739.83,17732.75,0.94
40,2015-11-20,325.01,328.3,310.0,320.51,119626.03,155774.0,2089.17,2082.82,1,1133.8,1133.8,17732.75,17823.81,0.92
41,2015-11-21,320.51,328.97,318.28,325.22,105230.72,151035.0,2089.17,2082.82,1,1133.8,1133.8,17732.75,17823.81,0.96
42,2015-11-22,325.22,328.75,320.99,324.37,97804.72,129659.0,2089.17,2082.82,1,1133.8,1133.8,17732.75,17823.81,0.97
43,2015-11-23,324.37,326.32,320.01,322.75,326786.37,145272.0,2086.59,2089.41,1,1124.7,1124.7,17823.61,17792.68,0.92
44,2015-11-24,322.75,324.53,305.0,317.52,283519.45,152324.0,2089.14,2084.42,1,1131.6,1131.6,17770.9,17812.19,0.91
45,2015-11-25,317.52,332.0,315.21,327.5,178654.88,151861.0,2088.87,2089.3,1,1128.4,1128.4,17820.81,17813.39,0.87
46,2015-11-26,327.5,365.37,327.5,360.0,175433.89,164671.0,2088.87,2089.3,1,1070.8,1070.1,17820.81,17813.39,0.86
47,2015-11-27,360.0,369.04,347.76,360.4,370511.16,160235.0,2090.11,2088.82,1,1114.5,1114.5,17806.04,17798.49,0.88
48,2015-11-28,360.4,360.41,352.0,357.0,57658.18,165676.0,2090.11,2088.82,1,1114.5,1114.5,17806.04,17798.49,0.91
49,2015-11-29,357.0,380.0,354.01,368.11,168299.4,129850.0,2090.11,2088.82,1,1114.5,1114.5,17806.04,17798.49,0.87
50,2015-11-30,368.11,380.99,367.5,377.29,565830.65,182648.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.88
51,2015-12-01,377.29,379.99,355.01,363.01,186714.7,178112.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.87
52,2015-12-02,363.01,364.03,349.0,361.18,151625.88,183523.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.82
53,2015-12-03,361.18,369.99,358.0,361.5,350211.87,164774.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.83
54,2015-12-04,361.5,364.48,356.0,362.03,329262.86,173586.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.84
55,2015-12-05,362.03,389.9,361.53,385.82,278215.04,186194.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.87
56,2015-12-06,385.82,403.33,385.82,395.5,86851.71,179712.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.83
57,2015-12-07,395.5,400.0,385.01,398.62,307497.84,192830.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.79
58,2015-12-08,398.62,412.13,390.84,412.13,200415.53,195221.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.81
59,2015-12-09,412.13,424.48,347.5,418.98,285473.2,220323.0,2080.41,2090.95,1,1123.9,1123.9,17802.84,17719.92,0.81
60,2015-12-10,418.98,422.89,412.54,416.49,272274.87,212036.0,2017.46,2015.65,1,1231.1,1231.1,17082.29,17131.86,0.84
61,2015-12-11,416.49,454.97,416.49,452.0,395780.18,210259.0,2045.97,2072.29,1,1141.3,1141.3,17691.93,17448.07,0.9
62,2015-12-12,452.0,473.34,408.45,435.0,234650.28,204141.0,2045.97,2072.29,1,1141.3,1141.3,17691.93,17448.07,0.96
63,2015-12-13,435.0,441.53,422.0,435.9,52006.96,189914.0,2045.97,2072.29,1,1141.3,1141.3,17691.93,17448.07,0.92
64,2015-12-14,435.9,450.36,429.86,445.7,456179.39,231477.0,2021.94,2013.37,1,1121.4,1121.4,17277.11,17368.5,0.99
65,2015-12-15,445.7,480.0,445.1,465.99,447962.48,223998.0,2043.41,2025.55,1,1119.8,1119.8,17374.78,17524.91,1.0
