,Unnamed: 0,Unnamed: 0.1,Open Time,Open,High,Low,Close,Volume,NumberTransactions,Close SP500,Open SP500,halving,Close Gold,Open Gold,OpenDJ,CloseDJ,Close_eth,tipoint,MA_2,EMA_2,Momentum_2,BollingerB_2,Bollinger%b_2,S0k_2,RSI_2,CCI_2,MA_3,EMA_3,Momentum_3,BollingerB_3,Bollinger%b_3,S0k_3,RSI_3,CCI_3,MA_5,EMA_5,Momentum_5,BollingerB_5,Bollinger%b_5,S0k_5,RSI_5,CCI_5,MA_8,EMA_8,Momentum_8,BollingerB_8,Bollinger%b_8,S0k_8,RSI_8,CCI_8,MA_9,EMA_9,Momentum_9,BollingerB_9,Bollinger%b_9,S0k_9,RSI_9,CCI_9,MA_10,EMA_10,Momentum_10,BollingerB_10,Bollinger%b_10,S0k_10,RSI_10,CCI_10,MA_15,EMA_15,Momentum_15,BollingerB_15,Bollinger%b_15,S0k_15,RSI_15,CCI_15,MA_21,EMA_21,Momentum_21,BollingerB_21,Bollinger%b_21,S0k_21,RSI_21,CCI_21,MA_105,EMA_105,Momentum_105,BollingerB_105,Bollinger%b_105,S0k_105,RSI_105,CCI_105,MA_200,EMA_200,Momentum_200,BollingerB_200,Bollinger%b_200,S0k_200,RSI_200,CCI_200,MA_300,EMA_300,Momentum_300,BollingerB_300,Bollinger%b_300,S0k_300,RSI_300,CCI_300,PIB,CPI,Tarifas
1,1,1,2015-10-12,249.5,249.5,247.6,247.6,9493.89,134410,2052.23,2047.93,1,1130.3,1130.3,17493.17,17574.75,0.63,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54420.0,-0.0449683750446447,0.04426742232112122
2,2,2,2015-10-13,247.6,252.87,245.75,250.0,12875.4,134878,2003.69,2015.0,1,1231.7,1231.7,17113.55,17081.89,0.6,0.75,248.55,248.075,0.0,0.0216214505613268,0.3232233047033605,0.0,0.0,-0.7071067811864471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54420.0,-0.0449683750446447,0.04426742232112122
3,3,3,2015-10-14,250.0,254.75,250.0,253.0,30115.77,141985,1994.24,2003.66,1,1243.6,1243.6,17079.08,16924.75,0.5,0.75,248.8,249.4076923076923,0.5,0.02728386293967386,0.6767766952966352,0.5969101123595502,0.8860648553900102,0.7071067811865498,249.03333333333333,249.24285714285716,0.0,0.0203382892927025,0.6908555708535886,0.5969101123595502,0.8383084577114448,1.1429856683209427,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969101123595502,0.0,0.0,54420.0,-0.0449683750446447,0.04426742232112122
4,4,4,2015-10-15,253.0,258.98,253.0,255.26,50535.45,153495,2023.86,1996.47,1,1251.4,1251.4,16944.86,17141.75,0.56,0.75,251.5,251.8325,5.400000000000006,0.03373869333693177,0.6767766952966416,0.631578947368421,0.2035843737414421,0.7071067811865309,250.2,251.2466666666666,3.5,0.04325419427168234,0.7587274448340994,0.631578947368421,0.2691693290734828,1.104126787462019,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.631578947368421,0.0,0.0,54420.0,-0.0449683750446447,0.04426742232112122
5,5,5,2015-10-16,255.9,269.98,255.9,263.75,26743.35,143286,2033.11,2024.37,1,1246.6,1246.6,17141.75,17215.97,0.53,0.75,254.13,254.1269421487603,5.259999999999991,0.02515344627523732,0.6767766952966453,0.3779264214046796,0.7586501495087578,0.7071067811865196,252.75333333333333,253.318064516129,7.659999999999997,0.04175867818532394,0.7374941688015392,0.3779264214046796,0.6891983695652184,1.006381986574711,251.072,252.4761137440758,0.0,0.048409572282762936,0.8445697480967597,0.3779264214046796,0.6402401159180307,1.5048032640271891,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779264214046796,0.0,0.0,54420.0,-0.0449683750446447,0.044939080012679884
6,6,6,2015-10-17,263.75,285.0,263.14,272.47,180981.35,135911,2033.11,2024.37,1,1246.6,1246.6,17141.75,17215.97,0.52,0.75,259.505,260.55112637362635,10.75,0.09253519696766956,0.6767766952966375,0.5575284090909082,0.9625072283788524,0.7071067811865509,257.3366666666666,258.6168253968254,13.75,0.08810085307056427,0.7828798598523009,0.5575284090909082,0.9220878746594008,1.1051234506991607,253.922,256.5957443609023,14.25,0.09792777058442097,0.8952382340632548,0.5575284090909082,0.8735172112655559,1.56368947338471,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575284090909082,0.0,0.0,54420.0,-0.0449683750446447,0.044939080012679884
7,7,7,2015-10-18,272.47,274.89,264.01,268.46,14484.0,119706,2033.11,2024.37,1,1246.6,1246.6,17141.75,17215.97,0.51,0.75,268.11,268.50067703568163,17.210000000000036,0.09199166210804063,0.6767766952966375,0.4268069533394344,0.9915935664745904,0.7071067811865566,263.82666666666665,265.5979527559055,19.47000000000003,0.1304683298991229,0.7511062188903926,0.4268069533394344,0.9744241949910556,1.049130643516522,258.8960000000001,262.2161097620205,24.870000000000033,0.1413794104375003,0.8708483388655435,0.4268069533394344,0.9456710315314332,1.518890986242005,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4268069533394344,0.0,0.0,54420.0,-0.0449683750446447,0.044939080012679884
8,8,8,2015-10-19,268.46,274.77,265.0,272.49,35836.54,143969,2033.66,2031.73,1,1236.3,1236.3,17209.43,17230.54,0.5,0.75,270.465,268.47355487804884,4.70999999999998,0.041935158967823113,0.3232233047033594,0.4090073529411756,0.8737993916418173,-0.707106781186591,268.2266666666667,267.03458823529417,13.19999999999999,0.06508942998077773,0.5133648584844981,0.4090073529411756,0.9040715767634848,0.09607202391157464,262.5880000000001,264.3819127676447,18.45999999999998,0.127246497550065,0.6757378602685616,0.4090073529411756,0.9010130041287084,0.7140019616133575,257.505,262.1132950481092,0.0,0.1469921339553104,0.7894227201185338,0.4090073529411756,0.8869506259310935,1.1708673971925672,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090073529411756,0.0,0.0,54420.0,-0.0449683750446447,0.04695235678001531
9,9,9,2015-10-20,272.49,275.99,266.02,272.1,54949.01,146349,2030.77,2033.13,1,1240.9,1240.9,17228.47,17217.11,0.44,0.75,270.475,271.151321003963,0.01999999999998181,0.04214275372114668,0.6767766952966356,0.7666325486182214,0.6216849744605921,0.7071067811870438,271.14,269.7676320939335,8.740000000000009,0.03424016559656352,0.6454133636089112,0.7666325486182214,0.7764834283677821,-0.1716561313740547,266.486,267.1567894215221,19.490000000000013,0.1085676638793729,0.7075227876236228,0.7666325486182214,0.8338035467030566,0.6038890577753779,260.37875,264.6873414128289,22.99000000000001,0.1559329285095639,0.7982947404308753,0.7666325486182214,0.842278068323857,1.032196222823497,259.17,264.1442335839374,0.0,0.1568659681204946,0.8276353563569488,0.7666325486182214,0.8420114331105942,1.146390325482291,0.0,0.0,0.0,0.0,0.0,0.7666325486182214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666325486182214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666325486182214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666325486182214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666325486182214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7666325486182214,0.0,0.0,54420.0,-0.0449683750446447,0.04695235678001531
10,10,10,2015-10-21,272.1,272.75,269.5,271.64,99066.75,150199,2018.94,2033.47,1,1229.7,1229.7,17225.93,17168.61,0.42,0.75,272.2950000000001,271.7837843788105,3.6400000000000423,0.004051071737084388,0.3232233047030581,0.6098294884653986,0.8169450192184816,0.7071067811893926,271.01666666666665,270.9349560117302,-0.3700000000000045,0.03280548883183811,0.6218483333640358,0.6098294884653986,0.8341651242728714,0.8218759369346189,269.85400000000004,268.8336048255063,16.84000000000003,0.05646239557690589,0.6474081825434207,0.6098294884653986,0.8539425893876837,0.4536775447044261,263.44125,266.4798125374327,24.500000000000032,0.1429286732241491,0.7299598729269917,0.6098294884653986,0.8539343137225053,0.8642758542867885,261.6811111111111,265.9267870927421,22.60000000000002,0.1569434972212328,0.7536913768590628,0.6098294884653986,0.8526078826267217,0.968067185731377,260.463,265.45836310217015,0.0,0.1599974596506223,0.7792427515069151,0.6098294884653986,0.8512178027422682,1.06771147128846,0.0,0.0,0.0,0.0,0.0,0.6098294884653986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098294884653986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098294884653986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098294884653986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6098294884653986,0.0,0.0,54420.0,-0.0449683750446447,0.04695235678001531
